Country,League,Club,Player Names,Matches_Played,Substitution,Mins,Goals,xG,xG Per Avg Match,Shots,OnTarget,Shots Per Avg Match,On Target Per Avg Match,Year,value
Germany,Bundesliga,(MAI),robin quaison,31,1,2718,13,12.02,0.42,71,28,2.48,0.98,2019,10000000
Germany,Bundesliga,(BAY),serge gnabry,26,5,2216,12,13.3,0.57,95,40,4.07,1.71,2019,72000000
Germany,Bundesliga,(KOL),sebastian andersson,31,2,2813,12,13.62,0.46,65,37,2.2,1.25,2019,4000000
Germany,Bundesliga,(BMG),alassane plea,25,2,2252,10,11.62,0.49,77,35,3.25,1.48,2019,35000000
France,France Ligue 7,(PSG),neymar,15,0,1396,12,15.87,1.08,71,36,4.83,2.45,2019,128000000
France,France Ligue 13,(MAR),dimitri payet,22,0,2057,9,5.85,0.27,63,26,2.91,1.2,2019,10000000
France,France Ligue 6,(PSG),mauro icardi,14,6,1353,12,12.11,0.85,36,20,2.53,1.4,2019,60000000
France,France Ligue 15,(LYO),memphis depay,12,1,1077,9,4.53,0.4,48,21,4.23,1.85,2019,44000000
France,France Ligue 9,(NIC),kasper dolberg,22,1,1994,11,7.77,0.37,42,25,2.0,1.19,2019,16000000
France,France Ligue 20,(STR),adrien thomasson,24,1,2168,7,5.25,0.23,50,18,2.19,0.79,2019,6000000
France,France Ligue 12,(MPE),andy delort,26,0,2409,9,10.9,0.43,84,29,3.31,1.14,2019,10000000
France,France Ligue 2,(MON),wissam ben yedder,25,1,2321,18,12.95,0.53,64,36,2.62,1.47,2019,40000000
France,France Ligue 19,(STR),ludovic ajorque,24,2,2163,8,6.6,0.29,50,22,2.2,0.97,2019,6000000
France,France Ligue 14,(LEI),islam slimani,14,4,1378,9,8.7,0.6,53,20,3.65,1.38,2019,6000000
France,France Ligue 17,(REN),adrien hunou,13,10,1325,8,7.25,0.52,28,15,2.01,1.08,2019,4000000
France,France Ligue 10,(STE),denis bouanga,23,3,2173,10,9.38,0.41,78,37,3.41,1.62,2019,8000000
France,France Ligue 16,(REN),sehrou guirassy,23,0,2030,9,8.55,0.4,45,19,2.11,0.89,2019,15000000
France,France Ligue 5,(STR),habib diallo,26,0,2344,12,9.13,0.37,83,34,3.36,1.38,2019,12000000
France,France Ligue 4,(NAP),victor osimhen,25,2,2434,13,14.86,0.58,86,35,3.36,1.37,2019,27000000
England,Premier League,(MNC),kevin de bruyne,32,3,2984,13,7.22,0.23,99,31,3.15,0.99,2019,120000000
England,Premier League,(LEI),jamie vardy,34,1,3271,23,19.28,0.56,89,42,2.58,1.22,2019,16000000
England,Premier League,(MNC),raheem sterling,30,3,2836,20,20.3,0.68,99,38,3.32,1.27,2019,128000000
England,Premier League,(BUR),chris wood,29,3,2616,14,17.07,0.62,65,29,2.36,1.05,2019,14000000
England,Premier League,(MNU),anthony martial,31,1,2788,17,11.74,0.4,80,39,2.73,1.33,2019,48000000
England,Premier League,(MNC),riyad mahrez,21,12,2130,11,7.62,0.34,74,31,3.3,1.38,2019,48000000
England,Premier League,(MNU),marcus rashford,31,0,2826,17,19.93,0.67,95,44,3.19,1.48,2019,64000000
England,Premier League,(LIV),mohamed salah,33,1,3045,19,20.51,0.64,132,59,4.12,1.84,2019,120000000
England,Premier League,(MNC),gabriel jesus,21,13,2209,14,20.69,0.89,101,46,4.34,1.98,2019,56000000
England,Premier League,(SOU),danny ings,32,6,3009,22,16.79,0.53,93,37,2.94,1.17,2019,17000000
England,Premier League,(TOT),harry kane,29,0,2801,18,12.97,0.44,81,37,2.75,1.25,2019,120000000
England,Premier League,(EVE),richarlison,36,0,3289,13,10.73,0.31,90,32,2.6,0.92,2019,60000000
England,Premier League,(NOR),teemu pukki,33,3,3087,11,11.37,0.35,80,35,2.46,1.08,2019,8000000
England,Premier League,(CHE),tammy abraham,25,9,2380,15,19.29,0.77,88,35,3.51,1.4,2019,40000000
Brazil,Campeonato Brasileiro S̩rie A,(SAN),carlos sanchez,27,7,2648,12,11.99,0.43,85,29,3.05,1.04,2019,1000000
 Netherlands,Eredivisie,(AJA),davy klaassen,6,0,490,5,4.02,0.78,13,8,2.52,1.55,2019,12000000
