Country,League,Club,Player Names,Matches_Played,Substitution,Mins,Goals,xG,xG Per Avg Match,Shots,OnTarget,Shots Per Avg Match,On Target Per Avg Match,Year,value
USA,MLS,(ACM),zlatan ibrahimovic,31,0,2998,31,22.72,0.72,159,67,5.04,2.12,2019,3500000
Spain,La Liga,(ATL),luis suarez,22,6,2126,16,14.32,0.64,79,42,3.53,1.88,2019,28000000
Spain,La Liga,(RMA),karim benzema,36,1,3207,21,21.61,0.64,124,59,3.67,1.75,2019,32000000
Spain,La Liga,(ALA),joselu,31,5,2990,11,13.22,0.42,87,30,2.76,0.95,2019,5000000
Spain,La Liga,(SEV),carlos fernandez,21,13,2428,10,10.48,0.41,47,19,1.84,0.74,2019,3000000
Spain,La Liga,(OSA),ante budimir,33,2,2923,13,12.31,0.4,56,22,1.82,0.72,2019,6000000
Spain,La Liga,(SOC),mikel oyarzabal,36,1,3247,10,8.89,0.26,62,22,1.81,0.64,2019,48000000
Spain,La Liga,(VIL),gerard moreno,33,2,2831,18,16.09,0.54,89,34,2.99,1.14,2019,16000000
Spain,La Liga,(BAR),lionel messi,32,1,3067,25,21.63,0.67,159,68,4.93,2.11,2019,112000000
Spain,La Liga,(RMA),sergio ramos,35,0,3100,11,11.09,0.34,39,17,1.2,0.52,2019,14000000
Spain,La Liga,(SEV),lucas ocampos,31,2,2929,14,13.26,0.43,84,36,2.72,1.17,2019,32000000
Spain,La Liga,(GET),jaime mata,33,1,2923,11,12.0,0.39,58,23,1.89,0.75,2019,8000000
Spain,La Liga,(CEL),iago aspas,37,0,3474,14,15.72,0.43,84,39,2.3,1.07,2019,16000000
Portugal ,Primeira Liga,(BRA),paulinho,27,2,2451,17,14.96,0.58,89,38,3.45,1.47,2019,13500000
Portugal ,Primeira Liga,(MNU),bruno fernandes,17,0,1656,8,5.58,0.32,60,23,3.44,1.32,2019,48000000
Portugal ,Primeira Liga,(BOA),angel gomes,6,0,530,3,1.12,0.2,12,3,2.15,0.54,2019,3000000
Italy,Serie A,(NAP),arkadiusz milik,19,7,1870,11,9.45,0.48,68,29,3.45,1.47,2019,32000000
Italy,Serie A,(INT),romelu lukaku,33,3,3156,23,18.94,0.57,99,47,2.98,1.41,2019,68000000
Italy,Serie A,(Sassuolo ),francesco caputo,33,3,3125,21,13.82,0.42,73,35,2.22,1.06,2019,5000000
Italy,Serie A,(NAP),andrea petagna,33,3,3263,12,13.74,0.4,110,33,3.2,0.96,2019,14000000
Italy,Serie A,(JUV),cristiano ronaldo,33,0,3127,31,27.32,0.83,208,79,6.32,2.4,2019,60000000
Italy,Serie A,(SAS),domenico berardi,29,2,2654,14,10.9,0.39,120,46,4.3,1.65,2019,19000000
Italy,Serie A,(CAG),joao pedro,35,1,3394,18,13.93,0.39,87,37,2.44,1.04,2019,14000000
Italy,Serie A,(CAG),joao pedro,35,1,3394,18,13.93,0.39,87,37,2.44,1.04,2019,12000000
Italy,Serie A,(ATA),josip ilicic,21,5,1786,15,9.78,0.52,81,36,4.31,1.91,2019,15000000
Italy,Serie A,,andreas cornelius,17,9,1637,12,6.38,0.37,46,20,2.67,1.16,2019,8000000
Italy,Serie A,(CAG),giovanni simeone,34,3,3115,12,11.8,0.36,87,30,2.65,0.91,2019,13000000
Italy,Serie A,(LAZ),ciro immobile,36,1,3371,36,26.61,0.75,142,71,4.0,2.0,2019,40000000
Italy,Serie A,(LEC),marco mancosu,28,5,2627,14,15.21,0.55,84,31,3.04,1.12,2019,2000000
Italy,Serie A,(ATA),duvan zapata,25,3,2143,18,15.11,0.67,89,37,3.95,1.64,2019,36000000
Italy,Serie A,(ATA),luis muriel,10,23,1370,18,12.4,0.86,77,41,5.34,2.84,2019,15000000
Italy,Serie A,(SAM),fabio quagliarella,26,2,2413,11,13.72,0.54,102,35,4.02,1.38,2019,1000000
Italy,Serie A,(BEN),gianluca lapadula,20,5,1906,11,9.43,0.47,61,24,3.04,1.2,2019,4000000
Italy,Serie A,(TOR),andrea belotti,34,2,3214,16,16.58,0.49,104,41,3.07,1.21,2019,32000000
Germany,Bundesliga,(DOR),jadon sancho,25,7,2387,17,9.8,0.39,52,28,2.07,1.11,2019,117000000
Germany,Bundesliga,(CHE),timo werner,33,1,2744,28,20.8,0.72,123,63,4.26,2.18,2019,64000000
Germany,Bundesliga,(WOB),wout weghorst,30,2,2893,16,18.27,0.6,85,38,2.79,1.25,2019,21000000
Germany,Bundesliga,(DOR),marco reus,18,1,1561,11,8.54,0.52,47,24,2.86,1.46,2019,32000000
Germany,Bundesliga,(CHE),kai havertz,29,1,2586,12,9.53,0.35,59,26,2.17,0.96,2019,81000000
Germany,Bundesliga,(BMG),marcus thuram,28,3,2296,10,10.15,0.42,56,36,2.32,1.49,2019,22000000
Germany,Bundesliga,(DUS),rouwen hennings,27,5,2592,15,10.91,0.4,73,27,2.68,0.99,2019,2000000
Germany,Bundesliga,(BAY),robert lewandowski,31,0,2783,34,31.05,1.06,138,67,4.71,2.29,2019,56000000
Germany,Bundesliga,(FCA),florian niederlechner,31,2,2846,13,13.18,0.44,78,40,2.6,1.34,2019,8000000
Germany,Bundesliga,(DOR),erling haaland,11,4,1116,12,7.64,0.65,34,19,2.89,1.62,2019,72000000
Germany,Bundesliga,(MON),kevin volland,24,3,2159,10,11.59,0.51,78,32,3.43,1.41,2019,28000000
Germany,Bundesliga,(SCF),nils petersen,24,10,2595,11,8.47,0.31,55,19,2.01,0.7,2019,6000000
Germany,Bundesliga,(BMG),lars stindl,14,11,1518,9,7.19,0.45,33,15,2.07,0.94,2019,6000000
